pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
PWY-5103	L-isoleucine biosynthesis III	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	118.1470829361	2538.3897573566	-0.24205146955940787	0.7247165052098601	0.7843252220885931	ns
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	989.95276675935	-2.347467080058398	0.27619905157065816	0.5025550622312621	down
PWY-5130	2-oxobutanoate degradation I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	15.2090778949	1325.46489026089	-0.9070167574553254	0.5973991527902653	0.701172714542565	down
PWY-5136	fatty acid &beta;-oxidation II (plant peroxisome)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	28.8196889888	3063.50997830108	0.06390844970406581	0.9522826608549088	0.9561070892117558	ns
PWY-5138	fatty acid &beta;-oxidation IV (unsaturated, even number)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1245.07995746405	-0.7454230853000194	0.6989732858893134	0.7630712728049273	down
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	20.0032971207	1637.7287717251	-3.4227936302300073	0.08461710924172944	0.5025550622312621	down
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	14.1978687948	1866.6410249012101	-2.3597514564307187	0.10090812576823752	0.5025550622312621	down
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1077.51149788441	-2.7877666758090642	0.373900966300059	0.5025550622312621	down
PWY-5207	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	63.2490533895	1873.3217530112402	-0.04548003831573773	0.9618303695545036	0.9618303695545036	ns
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	37.432852989000004	1219.2774696296099	-2.4928068556813425	0.17795284161586733	0.5025550622312621	down
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1163.44577980005	-2.6671176863945734	0.373900966300059	0.5025550622312621	down
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	61.144086304	1678.69012398335	-5.178373282028669	0.20334140020762725	0.5025550622312621	down
PWY-5484	glycolysis II (from fructose 6-phosphate)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1317.6648426759898	-3.0234866016901507	0.2854515001667858	0.5025550622312621	down
PWY-5505	L-glutamate and L-glutamine biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	49.729179674399994	1110.2929854591498	-0.20218524467585228	0.8350580938435443	0.8662428359372867	ns
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	783.1522632044699	-2.4323853681350873	0.373900966300059	0.5025550622312621	down
PWY-5659	GDP-mannose biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	19.0020247803	457.05121661878	-3.7245698772456537	0.15754404434642708	0.5025550622312621	down
PWY-5667	CDP-diacylglycerol biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	14.3767307235	487.3930132265	-4.658281265589909	0.3093098016321017	0.5025550622312621	down
PWY-5675	nitrate reduction V (assimilatory)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	25.8793755487	396.11569917834	-2.7192703602186303	0.19032423723073727	0.5025550622312621	down
PWY-5686	UMP biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	47.5706924177	2211.59491341073	-1.5161978720363338	0.2945408532310081	0.5025550622312621	down
PWY-5690	TCA cycle II (plants and fungi)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	77.80111245890001	1812.7703215167999	-0.987424163974055	0.4161984090624624	0.5447623155267832	down
PWY-5695	inosine 5'-phosphate degradation	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	68.3936827879	3055.01114294429	-2.1402260305773084	0.19663787247781	0.5025550622312621	down
PWY-5723	Rubisco shunt	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	32.3768764333	532.5438854203501	-1.9320294833035623	0.028511208434338933	0.5025550622312621	down
PWY-5864	superpathway of plastoquinol biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	77.5910331003	-2.578852185999633	0.373900966300059	0.5025550622312621	down
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1380.2332437865302	-2.039607472007672	0.373900966300059	0.5025550622312621	down
PWY-5913	partial TCA cycle (obligate autotrophs)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	59.6514894562	1867.37585282619	-2.0003857317506735	0.21246491658204417	0.5025550622312621	down
