srna_id	sample_id	condition	present
STRG.2301	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2386	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2565	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2646	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2698	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2731	AD_S1_2016_T2_R1_RNA	dry	1
STRG.278	AD_S1_2016_T2_R1_RNA	dry	1
STRG.2829	AD_S1_2016_T2_R1_RNA	dry	0
STRG.2957	AD_S1_2016_T2_R1_RNA	dry	0
STRG.299	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3083	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3106	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3166	AD_S1_2016_T2_R1_RNA	dry	0
STRG.3172	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3203	AD_S1_2016_T2_R1_RNA	dry	1
STRG.323	AD_S1_2016_T2_R1_RNA	dry	1
STRG.329	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3349	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3399	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3442	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3531	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3587	AD_S1_2016_T2_R1_RNA	dry	1
STRG.3687	AD_S1_2016_T2_R1_RNA	dry	1
STRG.401	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4012	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4112	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4256	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4446	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4505	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4672	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4811	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4819	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4853	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4887	AD_S1_2016_T2_R1_RNA	dry	1
STRG.4979	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5009	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5092	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5267	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5404	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5533	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5880	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5927	AD_S1_2016_T2_R1_RNA	dry	1
STRG.5961	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6026	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6071	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6112	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6143	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6163	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6286	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6471	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6474	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6579	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6583	AD_S1_2016_T2_R1_RNA	dry	1
STRG.6652	AD_S1_2016_T2_R1_RNA	dry	0
STRG.6686	AD_S1_2016_T2_R1_RNA	dry	1
STRG.697	AD_S1_2016_T2_R1_RNA	dry	0
STRG.7014	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7035	AD_S1_2016_T2_R1_RNA	dry	1
STRG.705	AD_S1_2016_T2_R1_RNA	dry	1
STRG.720	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7233	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7310	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7349	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7510	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7570	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7584	AD_S1_2016_T2_R1_RNA	dry	1
STRG.7613	AD_S1_2016_T2_R1_RNA	dry	1
STRG.803	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8036	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8092	AD_S1_2016_T2_R1_RNA	dry	0
STRG.8116	AD_S1_2016_T2_R1_RNA	dry	1
